dataset,model,qubits,accuracy,runtime_sec,n_support,condition_number,kernel_alignment,shots
liar,LogisticRegression,4,0.644,0.23199868202209473,,,,
liar,RandomForest,4,0.536,0.23199868202209473,,,,
liar,SVM_RBF,4,0.644,0.23199868202209473,,,,
liar,QKernel_Pauli_Pegasos,4,0.644,0.004391670227050781,0.0,49758858.272016585,0.08334096993356808,128.0
liar,LogisticRegression,6,0.644,0.2188127040863037,,,,
liar,RandomForest,6,0.568,0.2188127040863037,,,,
liar,SVM_RBF,6,0.632,0.2188127040863037,,,,
liar,QKernel_Pauli_Pegasos,6,0.644,0.0043523311614990234,0.0,46965387.80746657,0.08619038074612638,128.0
liar,LogisticRegression,8,0.632,0.22191357612609863,,,,
liar,RandomForest,8,0.608,0.22191357612609863,,,,
liar,SVM_RBF,8,0.652,0.22191357612609863,,,,
liar,QKernel_Pauli_Pegasos,8,0.644,0.00411534309387207,0.0,31185510.815505646,0.09552466350504188,128.0
